Raza,Foto,Origen,Descripción,Rasgo 1,Rasgo 2,Rasgo 3,Rasgo 4,Rasgo 5,Rasgo 6,Rasgo 7,Rasgo 8
Británico de pelo corto,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0004_British_shorthair.jpg?itok=JwO9XrA5,"País de origen: Gran Bretaña. El británico de pelo corto es, con diferencia, la raza felina de pedigrí más conocida en el Reino Unido. Aunque solo hay registros escritos de la existencia del británico de pelo corto desde inicios de siglo, la raza se remonta cientos de años. Se exportó en grandes cantidades al Nuevo Mundo, donde se hizo muy popular. La diversidad de colores y dibujos en el pelaje que hay actualmente se debe a la reproducción selectiva de los mejores gatos callejeros durante el siglo XIX y a los cuidados planes de reproducción mantenidos hasta la actualidad.","El británico de pelo corto es una raza relativamente grande que podría describirse como gruesa o fornida. Tiene muchos contornos redondeados: la cara y las mejillas, las orejas, los ojos y la cabeza. La trufa, corta y ancha, descansa sobre un mentón fuerte y profundo, lo que unido a su pecho y su cola corta y gruesa le convierten en un gato fuerte y robusto. El pelaje, corto y denso sin ser esponjoso, puede presentar más de cien combinaciones distintas de colores y dibujos.",Gato curioso y juguetón,Gato amigable pero independiente,Un gato silencioso,Raza de gato más grande y robusta,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Burmés,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0005_Burmese.jpg?itok=qRRzSTcr,"País de origen: Birmania. Un gato marrón oscuro, de cuerpo parecido al siamés, se llevó por primera vez a California desde el Lejano Oriente en 1930. Como no había ningún otro burmés en Estados Unidos en aquella época, la raza wong mau se cruzó con un siamés seal point, de marcas distales color marrón oscuro. Mediante una reproducción selectiva, surgió una nueva raza de pelaje oscuro a la que conocemos como burmesa en la actualidad. El gato burmés fue reconocido como raza primero en Norteamérica y luego llegó a Europa en 1940. Desde entonces, los programas de reproducción han desarrollado una gama de colores de pelaje.","El burmés es un gato de tamaño mediano, con la cabeza redonda y un cuerpo elegante y bien musculado. La raza no es tan grande y fuerte como el británico de pelo corto, ni tan elegante y delicada como el siamés. Los ojos son grandes y brillantes y pueden tener cualquier matiz de amarillo; con frecuencia parece variar en función del tipo de luz. La cola es recta y termina en una punta tipo pincel redondeada. El pelaje, fino, corto y brillante es característico del burmés y se ciñe al cuerpo. El gato burmés puede presentar diez colores, pero en todos ellos el vientre será más claro que el lomo, y el pelaje va en degradado de un extremo a otro.",Gato muy curioso y activo,Gato sociable y dependiente,Gato muy maullador,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Gato al aire libre,Buen gato familiar
Burmilla,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0006_Burmilla.jpg?itok=sdfktGDJ,"País de origen: Gran Bretaña. El burmilla es un miembro del grupo de gatos asiáticos con el pelo corto. La raza se creó en 1981 tras un apareamiento accidental entre un macho de raza chinchilla y una hembra de burmés lila. Los gatitos se parecían a y se comportaban como un burmés, pero con el impresionante color plateado y las manchas en la punta del pelo propias del chinchilla. De hecho, generaron tanto interés que permitieron que la pareja se apareara de nuevo y, a partir de ahí, se formó una nueva raza.","El burmilla es un gato de constitución media, parecido al burmés, con un cuerpo robusto y musculoso y el lomo recto y fuerte. La hembra es mucho más pequeña y delicada que el macho. La cabeza tiene un cráneo ligeramente redondeado, un hocico cuneiforme y orejas bastante separadas. Sus ojos expresivos pueden ser de cualquier color entre el dorado y el verde. El pelaje es corto y se ciñe al cuerpo, con un manto inferior pálido y un tono uniforme más oscuro en la punta del pelo (también llamado tipping) del resto del cuerpo, con una mancha en forma de M muy característica en la frente.",Gato curioso y juguetón,Gato sociable y dependiente,Gato algo maullador,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Chinchilla,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_chinchilla.jpg?itok=UhSoF3rT,"País de origen: Inglaterra. El chinchilla es, en realidad, un tipo específico de persa. La raza se presenta en un único color: un pelaje blanco puro en el que tan solo las puntas tienen un tono negro, lo que crea un ligero lustre plateado. Sus grandes ojos de color esmeralda llevan una orla negra en el borde de los párpados. El chinchilla fue el primer gato criado de forma selectiva para que tuviera un color concreto. Se exhibió por primera vez en 1894 en el Crystal Palace, en Londres.","El chinchilla presenta un único color: blanco. Tiene los ojos verdes, la cabeza ancha, las orejas pequeñas y separadas, y la cara corta y despejada. Los ojos son grandes y redondos y tienen un color vivo. Aunque el chinchilla suele tener los huesos más finos que la mayoría de los persas, las patas son bastante cortas, gruesas y fuertes. La cola es corta y tupida. El pelaje es largo, grueso y exuberante, con una capa interna densa y suave.",Gato tranquilo,Gato amigable pero independiente,Un gato silencioso,Raza de gato de constitución media,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Cornish rex,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0007_Cornish_rex.jpg?itok=WG4pjg4U,País de origen: Inglaterra (condado de Cornualles). La raza cornish rex debe su existencia a una mutación natural que se descubrió en un gatito nacido en un criadero de gatos de Cornualles en 1950: tenía el pelo rizado. Se volvió a cruzar con su madre y dos de los miembros de la camada resultante nacieron con el pelaje rizado que se relaciona ahora con la raza. Las mutaciones de pelo rizado devon y cornish rex son distintas. Los cruces de devon y cornish rex producen camadas de gatitos de pelo liso.,"Los cornish rex son musculosos y tienen una forma delgada y esbelta. Son más pesados de lo que parece. Este gato tiene una cabeza cuneiforme larga, un cráneo plano y grandes orejas situadas muy arriba. Su rasgo más característico es su manto rizado, fino y suave al tacto. El pelaje rizado carece de pelo de guarda y debe ondularse y tener un aspecto ondeado. Los bigotes son igual de rizados que el resto del pelaje. El cornish rex tiene un olor característico que algunos dueños describen como «parecido al queso». Pueden presentar cualquier color o patrón en el pelaje.",Gato curioso y juguetón,Gato amigable pero independiente,Gato algo maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza hipoalergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Cymric,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_cymrics.jpg?itok=bMnRRxWM,"País de origen: Isla de Man (Reino Unido)/Canadá. El cymric es una versión de pelo semilargo del gato manx. A pesar de su nombre, que deriva de la palabra Cymru (Gales, en celta), este gato es originario de la Isla de Man. Los gatos sin cola son habituales en la Isla de Man, donde la reproducción entre los gatos de la isla permitió que se extendiera una mutación natural del gen que elimina la cola. Como en el caso del manx, las camadas de gatitos cymric pueden tener colas achaparradas de varias longitudes. Según la cola, pueden ser rumpy-risers, cuando la cola tiene tres vértebras coccígeas; stumpy, tiene algunas vértebras móviles, y longy, presentan una cola larga que no llega al tamaño normal. Si no tienen cola se les llama rumpy. Los programas de reproducción en Canadá en los años sesenta dieron popularidad a los cymric en los EE. UU., donde solo se exhiben gatos sin cola.","El cymric es un gato fornido y de constitución fuerte con un cuerpo parecido al británico de pelo corto; tiene los ojos grandes y las orejas muy separadas. El rasgo más característico de la raza es que carece de cola. Sus patas traseras son más largas que las patas delanteras. El pelo del cymric es grueso y es como una capa de almohadillado sobre el cuerpo, lo que le da un aspecto redondeado. Los gatos cymric pueden llegar a saltar como los conejos por una deformidad de la columna, parecida a la espina bífida, relacionada con la falta de cola. Los cymric pueden presentar todos los colores y patrones, salvo el tipo siamés con marcas distales.",Gato tranquilo,Gato amigable pero independiente,Un gato silencioso,Raza de gato más grande y robusta,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Devon Rex,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0008_Devon_rex.jpg?itok=woM4LN7C,"País de origen: Inglaterra (condado de Devon). La raza devon rex procede de un gato de pelo rizado que se encontró en Devon en 1960. Como en el caso del cornish rex, el pelaje del devon se debe a un gen recesivo e hizo falta una reproducción endogámica para perpetuar la raza. Sin embargo, el gen del devon es distinto del que riza el pelo del cornish rex, y el cruce entre devon y cornish rex produce camadas de gatitos de manto liso. Las dos mutaciones deben de haber surgido de forma independiente, a pesar de su proximidad geográfica (Devon y Cornwall). Diez años después de su descubrimiento, la raza fue reconocida en Gran Bretaña.","La primera impresión que da un devon rex es la de una cara traviesa y un pelaje rizado. Las mejillas son anchas, los ojos y las orejas son muy grandes y están colocados en la parte baja de la cabeza. El pelaje corto tiene pelos de guarda ondulados, pero sobre todo está formado por un manto inferior de pelo. El devon tiene el característico «ondulado Marcel» de los rex y el pelo le forma rizos y ondas, sobre todo en el lomo. También tiene las cejas y los bigotes rizados. Puede presentar cualquier color o patrón.",Gato muy curioso y activo,Gato sociable y dependiente,Un gato silencioso,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza hipoalergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Exótico de pelo corto,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0010_Exotic_shorthair.jpg?itok=W-geDnvS,"País de origen: Estados Unidos/Gran Bretaña. El exótico de pelo corto es tan parecido al persa de pelo corto que se le incluye en la sección de pelo largo en las exhibiciones de gatos. En Estados Unidos, se empezó la reproducción selectiva de gatos americanos de pelo corto y persas de pelo largo para crear un gato con el aspecto de un persa, salvo por el pelaje. En Gran Bretaña, cruzaron británicos de pelo corto con persas de pelo largo por lo mismo. El pelaje, que es de longitud mediana, es mucho más fácil de cuidar y sigue ostentando una gran gama de colores y patrones. El exótico de pelo corto apareció por primera vez en los años sesenta y se convirtió en un gato muy popular.","El exótico de pelo corto es un gato fornido de tamaño mediano. Tiene la cabeza redondeada y ancha, las orejas pequeñas y separadas, y la cara corta y despejada. Los ojos son grandes y redondos y tienen un color vivo. Las patas son cortas, gruesas y fuertes, con zarpas grandes y redondeadas. La cola es corta y tupida. El pelaje es corto, grueso y exuberante, con una capa interna densa y suave. El exótico de pelo corto presenta toda la gama de colores y patrones de pelaje de los persas, y de los atigrados moteados.",Gato curioso y juguetón,Gato amigable pero independiente,Un gato silencioso,Raza de gato de constitución media,Requiere aseo todos los días,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Fold escocés,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0021_Scottish_fold.jpg?itok=4RpLlMsv,"País de origen: Escocia. El fold escocés, llamado así por sus orejas dobladas hacia adelante (fold en inglés significa pliegue o doblez), se consideró en un principio una mutación natural en Escocia en la década de los sesenta. Numerosos veterinarios y jueces británicos decidieron que las orejas dobladas de esta raza eran una deformidad indeseable e imposibilitarían que el gato se limpiara las orejas. Las deformidades de la columna vertebral, las patas traseras y la cola también aparecieron al cruzar estos gatos de orejas dobladas entre sí. Por este motivo, el órgano rector de la asociación británica de amigos de los gatos decidió no permitir el registro del fold escocés. La raza es popular en los Estados Unidos y en otros países.","La característica más evidente del fold son sus orejas, que son pequeñas y están dobladas hacia adelante de tal modo que cubren la abertura de la oreja por completo. Tiene las puntas de las orejas redondeadas. El fold escocés es un gato de tamaño mediano con un cuerpo firme y compacto. La cabeza tiene una forma redondeada, con pómulos salientes y se asienta sobre un cuello corto. Los ojos son grandes, muy abiertos y de expresión dulce. El pelaje del fold escocés es corto y denso. Tiene una gran variedad de colores y patrones.",Gato tranquilo,Gato amigable pero independiente,Un gato silencioso,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Gato de interior,Puede requerir familiarización antes de vivir con niños
Khao Manee,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_khao_manee.jpg?itok=xI6T7Jgy,"País de origen: Tailandia. Otros nombres: Gema blanca, khao plort, ojos de diamante. La khao manee (se pronuncia «cau maní») es una raza de gato poco común procedente de Tailandia y se cree que se remonta a cientos de años. Khao manee significa «gema blanca»; se dice que la raza traía buena suerte y era una raza popular en la realeza tailandesa.","Los gatos khao manee son ágiles y musculosos, con un pelaje blanco puro, corto, suave y ceñido al cuerpo. Las orejas son de tamaño medio a grande y la nariz es ligeramente curvada. La característica más notoria de estos gatos es el color de los ojos, que puede ir del azul al ámbar, amarillo o verde, o una combinación de azul y cualquiera de los demás colores. En Tailandia, el khao manee de ojos distintos es el más preciado y normalmente se regala al considerarlo un gato portador de buena suerte. A veces, los gatitos blancos nacen con una marquita más oscura en la parte superior de la cabeza, que desaparece alrededor del primer año de edad. Es algo normal.",Gato curioso y juguetón,Gato sociable y dependiente,Gato algo maullador,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Korat,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/2021-02/CAT%20HERO_0011_Korat.jpg?itok=93EvUovH,"País de origen: Tailandia. Otros nombres: Si-Sawat. El korat debe su nombre a una provincia de Tailandia. En Tailandia, donde la raza se conoce como Si-Sawat (que significa buena suerte), se regalaba una pareja de korat como presente tradicional para una novia. Se cree que se presentó un korat en una exhibición de gatos británica en el siglo XIX como siamés azul. Su primera aparición en Estados Unidos se remonta a la década de los cincuenta y, desde allí, llegó a Gran Bretaña en 1972. Es una de las pocas razas que tiene un único color, en este caso azul plateado.","El pelaje del korat es corto, fino y brillante y ceñido al cuerpo. Se presenta en un único color, que consiste en un tono azul con las puntas plateadas. La trufa, los labios y las almohadillas de las patas son de color azul grisáceo oscuro o lavanda. Su aspecto es parecido al azul ruso, pero tiene un manto monocapa, una forma más redondeada y los ojos de un verde peridoto en lugar de verde esmeralda. La cabeza tiene una forma de corazón muy característica, con orejas y ojos grandes y una expresión de alerta. El cuerpo es fuerte y musculoso; ni tan largo como el siamés ni tan fornido como el británico de pelo corto.",Gato curioso y juguetón,Gato amigable pero independiente,Un gato silencioso,Raza de gato de constitución media,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
Laperm,https://purina.es/sites/default/files/styles/nppe_breed_selector_500/public/breed_library/cat_la_perms.jpg?itok=hjMMkLOl,"País de origen: EE. UU.. El pelaje rizado u ondulado del gato laperm es su rasgo más llamativo. El origen de la raza se encuentra en una camada de gatos comunes de una granja de Oregón en 1986. Solo un gatito de los seis de la camada nació calvo. A las ocho semanas, empezó a crecerle un pelo rizado muy suave. A los tres o cuatro meses, el gatito tenía el manto completo de pelo rizado típico de los laperm. A diferencia de otras razas de pelaje rizado, como el devon o el cornish rex, el pelaje del laperm puede ser corto o largo. La raza no es habitual fuera de Estados Unidos.","El gato laperm tiene un aspecto elegante similar al del siamés, con la cabeza cuneiforme. El pelaje rizado de las dos variedades (pelo largo y corto) puede variar en longitud y abundancia dependiendo de la estación y de la madurez del gato, pero carecen de manto inferior. Los rizos varían desde pequeños y apretados hasta bucles largos. Los rizos más apretados aparecen en la parte inferior del gato a la altura de la garganta y en la base de las orejas. La versión de pelo largo tiene una cola rizada y emplumada y la de pelo corto recuerda a los cepillos limpiabotellas. Los gatos de ambos tipos tienen grandes bigotes rizados. El laperm puede tener cualquier color o patrón. El color de los ojos va desde el dorado hasta el aguamarina y pueden tener un ojo de cada color.",Gato curioso y juguetón,Gato sociable y dependiente,Un gato silencioso,Raza de gato esbelta y elegante,Requiere aseo una vez por semana,Raza alergénica,Necesita algo de espacio al aire libre,Puede requerir familiarización antes de vivir con niños
