Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Aïdi,https://cdn.royalcanin-weshare-online.io/afozIGYBIYfdNSoCsAjP/v1/bd122bl-aidi-adult-lying-down?w=320&fm=jpg&auto=compress,"Los Aidis son perros muy resistentes, de notable fuerza y movilidad. Los perros de esta raza son musculosos, nerviosos y con una constitución fuerte. Tienen un pelaje espeso peculiar que les protege del sol y del frío. Este pelaje también les protege en peleas con chacales y otros depredadores. Tiene una mirada alegre, directa y obstinada, como corresponde a un perro que siempre está dispuesto a tareas de vigilancia. En algunas regiones de Marruecos, es habitual cortarles las orejas. Incluso es posible recortar la cola de los perros de trabajo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Marruecos Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Alerta / Independiente / Leal / Sensible, - Necesita cuidados moderados - Un gran perro para una familia - Disfruta del entrenamiento,L (26-44 kg)
Akita Americano,https://cdn.royalcanin-weshare-online.io/7SLIxWoBaxEApS7LQRtH/v5/bd124bl-hub-american-akita-adult-standing?w=320&fm=jpg&auto=compress,"Simpático, alerta, receptivo, digno, dócil y valiente: estos son los adjetivos que mejor describen a los Akitas Americanos. Este fuerte compañero es muy elogiado por su instinto protector innato, y se recomienda socializarlo desde una edad muy temprana. Son relativamente desconfiados con las personas que no conocen y un poco dominantes en las relaciones con otros perros. Son tranquilos, pero tienen una gran presencia e irradian confianza en cualquier circunstancia. Dicen que su cabeza se parece a la de un oso, concretamente, a la de un oso polar, pero en realidad hay muchas más similitudes entre las dos especies. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Grande Esperanza de vida promedio: 10–15 años Personalidad: Equilibrado / Afable / Alerta / Obediente / Tranquilo, - Un gran perro guardián - Requiere espacio exterior - Necesita cuidados moderados,L (26-44 kg)
Akita inu,https://cdn.royalcanin-weshare-online.io/rvo0HWsBIYfdNSoCfxpx/v1/bd22bl-hub-akita-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros guardianes son grandes y de constitución robusta y atlética que los hace ideales para largos paseos y hacer ejercicio. El akita inu tiene una expresión noble y solemne que lo ha hecho popular en todo el mundo.  Excepto por el blanco, todos los colores del pelaje son ""urajiro"", lo que significa que los lados del hocico, las mejillas, debajo de la mandíbula, el cuello, el pecho, el vientre, la parte inferior de la cola y el interior de las patas están cubiertos de pelo blanquecino. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Japón Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Leal / Tranquilo / Obediente, - Un gran perro guardián - Necesita un dueño con experiencia - Necesita cuidados moderados,L (26-44 kg)
Antiguo Perro de Muestra Danés,https://cdn.royalcanin-weshare-online.io/kvrcsmoBIYfdNSoC5hgk/v1/bd257bl-hub-old-danish-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Antiguos Perros de Muestra Daneses pertenecen a una raza tranquila y equilibrada, son muy determinados y valientes. Estos perros de constitución rectangular y tamaño mediano son de complexión robusta. El origen de la raza se remonta aproximadamente a 1710 cuando un hombre llamado Morten Bak cruzó perros gitanos con perros de granja locales durante ocho generaciones, y así estableció una raza pura de perros blancos y marrones a la que llamó Antiguo Perro de Muestra Danés. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Dinamarca Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Obstinado / Seguro / Tranquilo / Leal, - Paciente con niños y otros animales - Requiere cuidados mínimos - Requiere espacio exterior,L (26-44 kg)
Antiguo perro de Pastor inglés,https://cdn.royalcanin-weshare-online.io/HSIrx2oBaxEApS7LPhxE/v1/bd90bl-hub-old-english-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Es posible que los antiguos perros de Pastor ingleses sean una de las razas más icónicas de todo el mundo y, seguramente, de su Reino Unido natal. Fuerte y rebosante de energía, el antiguo perro de Pastor inglés es un perro fiel y confiable, tanto en el trabajo como en el hogar familiar.  Además de ser un famoso perro de granja, el antiguo perro de Pastor inglés es un excelente perro guardián, gracias a su naturaleza alerta y protectora. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Seguro / Leal, - Necesita cuidados moderados - Requiere espacio exterior - Necesita mucho ejercicio,L (26-44 kg)
Basset hound,https://cdn.royalcanin-weshare-online.io/tvpBHWsBIYfdNSoCdxr6/v1/bd29bl-hub-basset-hound-adult-standing?w=320&fm=jpg&auto=compress,"Los basset hound son perros tranquilos que muestran un especial afecto hacia aquellos que les rodean y nunca expresan agresividad. Son conocidos por su terquedad, pero gracias a su carácter travieso se han ganado muchos admiradores en todo el mundo.  Los basset hounds son los más potentes y pesados de la categoría de rastreadores, clasificados como perros grandes a pesar de su baja estatura. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Sociable / Cariñoso, - Necesita cuidados moderados - Disfruta del entrenamiento - Jardín no esencial,L (26-44 kg)
Billy,https://cdn.royalcanin-weshare-online.io/DiLVxWoBaxEApS7LVBzY/v1/bd145bl-hub-billy-adult-standing?w=320&fm=jpg&auto=compress,"El Billy es un sabueso grande originario de Haut-Poitou, en el centro occidental de Francia. Sus antepasados, perros grandes blancos, fueron inquilinos frecuentes de las perreras reales durante el reinado de Luis XIV. Una de las actividades preferidas del Billy, y una de las que mejor realiza, es perseguir liebres y jabalíes. Por lo tanto, las cualidades más importantes de la raza se relacionan con sus aptitudes para la caza. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Alerta, - Requiere espacio exterior - Un gran perro guardián - Necesita poco entrenamiento,L (26-44 kg)
Borzoi,https://cdn.royalcanin-weshare-online.io/wvpRHWsBIYfdNSoCJhpA/v1/bd36bl-hub-borzoi-adult-standing?w=320&fm=jpg&auto=compress,"El borzoi es una raza leal, cariñosa y confiable que florece en compañía humana, lo cual los convierte en perros fantásticos para las familias activas. Sin embargo, este perro no debe menospreciarse. Su gran estatura significa que requiere mucho espacio para vivir y su caracterísito pelaje necesita muchos cuidados. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Rusia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Fuerte / Tranquilo / Equilibrado / Alerta, - Necesita mucho ejercicio - Necesita mucho espacio - Requiere muchos cuidados,L (26-44 kg)
Bóxer,https://cdn.royalcanin-weshare-online.io/nPq6HGsBIYfdNSoCaBpp/v5/bd8bl-hub-boxer-adult-standing?w=320&fm=jpg&auto=compress,"El Bóxer es un perro intrépido, confiado, tranquilo y equilibrado. Aunque no representa ninguna amenaza para su familia, puede ser muy desconfiado de los extraños. El Bóxer es obediente, de modo que resulta fácil de educar. Poco exigente, tranquilo y leal, es adecuado tanto como perro de familia y de compañía como de defensa y utilidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 9–10 años Personalidad: Alerta / Seguro / Entusiasta / Equilibrado / Afable / Independiente / Leal / Alegre / Protector, - Un gran perro guardián - Necesita un entrenamiento moderado - Necesita mucho ejercicio,L (26-44 kg)
Boyero de Flandes,https://cdn.royalcanin-weshare-online.io/8GlVHWsBG95Xk-RBDvj7/v1/bd39bl-hub-bouvier-des-flandres-adult-standing?w=320&fm=jpg&auto=compress,"Originalmente, el Boyero de Flandes se utilizaba para conducir rebaños, como animal de tiro y para batir mantequilla. La modernización de los equipos agrícolas lo desplazó de estos roles y, en la actualidad, el Boyero de Flandes se usa para proteger las granjas y como perro de defensa.  Estos perros de caràcter determinado son más adecuados para propietarios con experiencia que puedan dedicar tiempo para cubrir sus necesidades de entrenamiento y aseo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Inteligente / Tranquilo / Seguro / Alegre / Trabajador, - Un gran perro guardián - Necesita cuidados moderados - Dócil con los niños,L (26-44 kg)
Braco italiano,https://cdn.royalcanin-weshare-online.io/QSI9x2oBaxEApS7LgxwS/v1/bd150bl-hub-italian-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Robustos y adaptados a todos los tipos de caza, los Bracos italianos son unos perros de muestra fiables con un excelente sentido del olfato, dóciles y fáciles de entrenar. Además de por sus instintos de caza, estos perros están comenzando a ser conocidos por ser perros de compañía familiares dulces y cariñosas, debido a su fácil mantenimiento, a su paciencia con los niños y a su capacidad para quedarse solos en el hogar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Italia Categoría de tamaño: Grande Esperanza de vida promedio: 12–13 años Personalidad: Leal / Tranquilo, - Necesita poco entrenamiento - Requiere cuidados mínimos,L (26-44 kg)
Braco Alemán de Pelo Corto,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"El Braco Alemán de Pelo Corto es un perro cariñoso y equilibrado, es afable, inteligente y ansioso por complacer. Estos perros son pacientes con los niños y con otros perros; sin embargo, su gran tamaño implica que el juego pueda ser demasiado brusco para los niños más pequeños. Los Bracos Alemanes de Pelo Corto, atléticos y comprometidos, son perros de caza robustos y versátiles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Fuerte / Equilibrado / Leal / Tímido / Seguro, - Requiere espacio exterior - Necesita cuidados moderados - Requiere mucho entrenamiento,L (26-44 kg)
Braco Alemán de Pelo Duro,https://cdn.royalcanin-weshare-online.io/cvrLsmoBIYfdNSoCtxg1/v1/bd200bl-hub-german-wire-haired-pointer-adult-standing?w=320&fm=jpg&auto=compress,"El Braco Alemán de Pelo Duro tienen cualidades notables reconocidas en todo el mundo, pero en su país natal se los considera el exponente perfecto de las razas de muestra. Un perro de caza versátil, el Braco Alemán de Pelo Duro tiene todos los atributos necesarios para trabajar en llanuras, bosques y pantanos, anticipándose a las señales o respondiendo a estas. Como compañeros, estos perros son cariñosos y equilibrados, y establecen un vínculo muy estrecho con sus propietarios. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Cariñoso / Equilibrado / Seguro, - Necesita cuidados moderados - Disfruta del entrenamiento,L (26-44 kg)
Braco de Weimar,https://cdn.royalcanin-weshare-online.io/OCI1x2oBaxEApS7LJxwI/v1/bd114bl-hub-weimaraner-adult-standing?w=320&fm=jpg&auto=compress,"Los Bracos de Weimar son muy perseverantes, trabajan de manera muy sistemática y no son excesivamente enérgicos. Son muy conocidos por su notable sentido del olfato.  Muy precisos a la hora de señalar la presa en tierra y en agua, son excelentes compañeros para los cazadores. Estos perros de gran tamaño se adaptan bien como trabajadores, pero también para el papel de perros de familia, protectores del hogar y en alerta ante los extraños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Equilibrado / Alerta / Leal / Trabajador / Inteligente, - Requiere espacio exterior - Necesita cuidados moderados - Necesita poco entrenamiento,L (26-44 kg)
Braco francés (tipo Gascuña),https://cdn.royalcanin-weshare-online.io/QiI-x2oBaxEApS7LKxzk/v1/bd154bl-hub-french-pointing-dog-gascogne-type-adult-standing?w=320&fm=jpg&auto=compress,"Estos pointers de aspecto noble son robustos y vigorosos, aunque nada pesados, y de extremidades fuertes. Las hembras son más finas. Su piel es flexible y bastante flácida. Existen dos tipos de braco francés: el tipo Gascuña grande y el tipo Pirineos pequeño. Tienen su origen en el suroeste de Francia y en los Pirineos Centrales respectivamente, donde mantuvieron su pureza. Durante las últimas décadas se han convertido en los pointers franceses más populares y se dice que el marrón original es el antecesor de la mayoría de los pointers europeos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Inteligente / Tranquilo / Equilibrado, - Necesita cuidados moderados - Necesita poco entrenamiento - Paciente con niños y otros animales,L (26-44 kg)
Cane Corso,https://cdn.royalcanin-weshare-online.io/AWlfHWsBG95Xk-RBJfnw/v1/bd47bl-hub-cane-corso-adult-standing?w=320&fm=jpg&auto=compress,"Los Cane Corso, muy adaptables, receptivos y ágiles, son utilizados en todo el mundo como guardianes de la propiedad y el ganado.  A simple vista, el Cane Corso puede parecer un perro intimidante, pero detrás de ese aspecto hay un perro inteligente, ansioso por complacer a sus compañeros humanos e increíblemente fiel a ellos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Italia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Fuerte / Protector / Ágil / Obediente, - Un gran perro guardián - Necesita un dueño con experiencia - Requiere espacio exterior,L (26-44 kg)
Cazador de Alces Sueco,https://cdn.royalcanin-weshare-online.io/MiIyx2oBaxEApS7LrBwc/v1/bd110bl-hub-jamthund-adult-standing?w=320&fm=jpg&auto=compress,"El Cazador de Alces Sueco, también conocido como Jämthund, es un perro grande y fuerte. A pesar de esto, son perros tranquilos y sociables, excelentes compañeros para propietarios experimentados. Estos perros se crían para que sean un tanto independientes por naturaleza. Por lo tanto, necesitan propietarios que puedan afirmarse como el verdadero ""alfa"" de la casa y que les enseñen a manejar su fuerza y su naturaleza protectora. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Suecia Categoría de tamaño: Grande Esperanza de vida promedio: 12–13 años Personalidad: Alegre / Alerta / Afable / Seguro / Trabajador / Obediente, - Un gran perro guardián - Necesita cuidados moderados - Requiere espacio exterior,L (26-44 kg)
Cesky fousek,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"El cesky fousek es miembro de una raza noble de perros medianos de pelo duro que expresa resistencia y fuerza. Estos perros de muestra versátiles han heredado las cualidades necesarias para trabajar en el campo, en el agua y en el bosque. Fácil de educar y muy apegado a sus dueños. La Primera Guerra Mundial y sus consecuencias fueron responsables de que el cesky fousek casi desapareciese en los años 20. A partir de algunos ejemplares típicos originales se regeneró la raza moderna del cesky fousek mediante cría planificada. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: República Checa Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Seguro / Alerta / Independiente / Dócil / Inteligente / Leal / Obediente / Equilibrado / Fuerte, - Necesita poco entrenamiento - Paciente con niños y otros animales - Necesita cuidados moderados,L (26-44 kg)
Cimarrón uruguayo,https://cdn.royalcanin-weshare-online.io/1Ppb-WYBIYfdNSoC8wlp/v1/dog-illustrations-grey-01?w=320&fm=jpg&auto=compress,"Los cimarrones uruguayos, miembros de la raza nacional de su país natal, tienen muy buenas cualidades, entre las que destacan el pastoreo de ganado, la caza de presas de gran tamaño y la protección de personas y propiedades. Estos perros de tipo molosoide y de tamaño mediano son de huesos fuertes, musculosos, compactos y ágiles. Son muy elogiados por su equilibrio, inteligencia y valor, tanto en la caza como en el hogar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Uruguay Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Seguro / Sociable / Equilibrado, - Un gran perro guardián - Necesita mucho ejercicio - Requiere cuidados mínimos,L (26-44 kg)
Clumber spaniel,https://cdn.royalcanin-weshare-online.io/2CIqxWoBaxEApS7L9hvQ/v1/bd170bl-hub-clumber-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Los clumber spaniels son perros estoicos, de gran corazón y muy inteligentes con una determinación que mejora sus habilidades naturales. Son trabajadores silenciosos que aprovechan sus sentidos excelentes y compañeros constantes y seguros que desprenden amabilidad y dignidad. Estos perros bien equilibrados y de huesos desarrollados tienen una expresión pensativa. Son animales activos con una gran fuerza. Debido a su cuerpo largo y piernas cortas, los clumber spaniels tienen un andar rodante, avanzando en línea recta por delante y por detrás sin esfuerzo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Alegre / Inteligente / Obstinado / Tranquilo / Equilibrado / Leal / Cariñoso, - Requiere muchos cuidados - Requiere espacio exterior - Un gran perro para una familia,L (26-44 kg)
Coonhound Negro y Fuego,https://cdn.royalcanin-weshare-online.io/ECLVxWoBaxEApS7L5xy8/v1/bd146bl-hub-black-and-tan-coonhound-adult-standing?w=320&fm=jpg&auto=compress,"Los Coonhound Negro y Fuego son unos perros equilibrados, sociables y tranquilos, capaces de trabajar en estrecho contacto con otros perros. Algunos ejemplares pueden ser un poco tímidos, pero nunca son asustadizos ni agresivos. Raramente muestran un comportamiento agresivo hacia las personas o hacia otros perros. Su rostro refleja perfectamente su capacidad de atención y su amabilidad. Los Coonhound Negro y Fuego son, ante todo, perros de trabajo, entrenados para rastrear mapaches por el olor, obligándolos a refugiarse en los árboles. Las características de los perros de esta raza estadounidense les permiten afrontar temperaturas extremas tanto en invierno como en verano, y manejarse en los terrenos más difíciles. Su aptitud y coraje también los hacen muy aptos para la cacería del venado, el oso, el puma y otros ejemplares de caza mayor. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Cariñoso / Seguro / Alerta / Afable / Dócil / Independiente / Tranquilo / Sensible / Equilibrado / Sociable / Obstinado / Fuerte, - La educación deberá comenzar pronto - Requiere espacio exterior - Necesita mucho ejercicio,L (26-44 kg)
Cuvac Eslovaco,https://cdn.royalcanin-weshare-online.io/l_rlsmoBIYfdNSoC4RhR/v1/bd298bl-hub-slovakian-chuvach-adult-standing?w=320&fm=jpg&auto=compress,"Los Cuvacs Eslovacos son perros de montaña de constitución sólida que tienen una gruesa capa de pelaje blanco y una estructura ósea robusta. Pertenecen a una raza alegre, siempre en alerta y valiente. A lo largo de los siglos, estos imponentes perros, con una estructura maciza y rectangular, se han acostumbrado al duro clima de los montes Tatras, en Eslovaquia. El nombre de la raza está relacionado con la palabra eslovaca que significa ""escuchar"". Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Eslovaquia Categoría de tamaño: Grande Esperanza de vida promedio: 11–13 años Personalidad: Alerta / Dócil / Independiente / Leal / Equilibrado / Fuerte, - Necesita un dueño con experiencia - Dócil con los niños - Requiere cuidados mínimos,L (26-44 kg)
Dálmata,https://cdn.royalcanin-weshare-online.io/0fqUHWsBIYfdNSoCfRo2/v1/bd55bl-hub-dalmatian-adult-standing?w=320&fm=jpg&auto=compress,"Además de ser estrellas de la gran pantalla, los Dálmatas son perros deportivos versátiles que se adaptan bien a muchas disciplinas diferentes. Los Dálmatas son alegres, leales, independientes y fáciles de adiestrar. Son perros activos a los que les gusta el ejercicio al aire libre y que sienten atracción por el agua. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Croacia Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Equilibrado / Afable / Seguro / Alegre / Cariñoso / Leal / Independiente, - Necesita un dueño con experiencia - Necesita poco entrenamiento - Necesita cuidados moderados,L (26-44 kg)
Dogo Argentino,https://cdn.royalcanin-weshare-online.io/3CIvxWoBaxEApS7L5Bua/v1/bd179bl-hub-dogo-argentino-adult-standing?w=320&fm=jpg&auto=compress,"Los Dogos Argentinos son perros compactos y musculosos de largas extremidades. Son animales inteligentes de reacción rápida, aunque su modo de andar sea tranquilo. El color del pelaje de estos perros leales y cariñosos es llamativamente blanco. Esta raza posee una constitución atlética. En climas tropicales, su pelaje es fino y poco denso, y puede presentar áreas pigmentadas. En climas fríos, el pelaje es más grueso y denso, y puede haber una subcapa inferior de pelo Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Argentina Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Ágil / Dócil / Afable / Tranquilo / Fuerte / Seguro / Cariñoso, - Requiere espacio exterior - Necesita poco entrenamiento - Un gran perro para una familia,L (26-44 kg)
Dogo de Mallorca,https://cdn.royalcanin-weshare-online.io/y2nysmoBG95Xk-RBsPa8/v1/bd261bl-hub-majorca-mastiff-adult-lying-down?w=320&fm=jpg&auto=compress,"Aunque es un perro de naturaleza pacífica, se sabe de situaciones en que el dogo de Mallorca es vigilante y valiente. Es sociable con las personas y muestra una gran lealtad y cariño por su compañero. Los dogos de Mallorca son excelentes perros de guardia y defensa, seguros de sí mismos, con una mirada penetrante cuando están alerta. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: España Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Alerta / Seguro / Independiente / Tranquilo / Equilibrado, - Un gran perro guardián - Requiere cuidados mínimos - Bueno con las personas,L (26-44 kg)
Espinone,https://cdn.royalcanin-weshare-online.io/cfrLsmoBIYfdNSoCQBi4/v1/bd309bl-hub-italian-spinone-adult-standing?w=320&fm=jpg&auto=compress,"De carácter sociable, dócil y paciente, los Espinones son hábiles cazadores en cualquier terreno. Excelentes recuperadores y rastreadores, se mueven rápidamente con un trote largo. En una encuesta realizada a los amantes de los perros en Italia, el Espinone salió como compañero ideal, cosa que no les resta valor como hábiles cazadores. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Italia Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Fuerte / Sociable / Tranquilo / Atlético, - Necesita cuidados moderados - Necesita mucho ejercicio - Disfruta del entrenamiento,L (26-44 kg)
Fila de San Miguel,https://cdn.royalcanin-weshare-online.io/1Ppb-WYBIYfdNSoC8wlp/v1/dog-illustrations-grey-01?w=320&fm=jpg&auto=compress,"Esta raza procede de una ubicación remota en pleno Atlántico, motivo por el cual no es sorprendente que esta raza sea muy escasa. El fila de San Miguel es un perro pastor fuerte e inteligente muy apreciado entre los ganaderos en su tierra natal por sus atributos físicos, que le permiten trabajar con intensidad sea cual sea el clima. Estos perros pastores sobresalientes también son adecuados para defender propiedades y personas. Son muy confiados con extraños pero dóciles con su dueño. Estos perros son muy inteligentes y receptivos y, al dirigir rebaños lecheros, muerden por lo bajo para no dañar las ubres. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Portugal Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Obstinado / Tranquilo / Inteligente / Obediente, - Un gran perro guardián - Requiere cuidados mínimos - Necesita mucho ejercicio,L (26-44 kg)
Galgo Español,https://cdn.royalcanin-weshare-online.io/lfrismoBIYfdNSoCXRil/v1/bd307bl-hub-spanish-greyhound-adult-standing?w=320&fm=jpg&auto=compress,"Se cree que el Galgo Español es uno de los ancestros del greyhound. También existe una variedad de pelo duro con un pelo más rústico que puede variar en longitud y tiende a formar barba y bigote, así como cejas y un mechón en la parte superior de la cabeza. Se trata de perros serios y distantes que gastan mucha energía y muestran una gran vivacidad en la caza. A pesar de esto, en el hogar son perros dóciles y tranquilos que se llevan bien con los niños y otras mascotas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Afganistán Categoría de tamaño: Grande Esperanza de vida promedio: 12–18 años Personalidad: Atlético / Independiente / Inteligente / Leal / Juguetón, - Paciente con niños y otros animales - Necesita ejercicio moderado - Necesita cuidados moderados,L (26-44 kg)
Golden retriever,https://cdn.royalcanin-weshare-online.io/zGkpHWsBG95Xk-RBdPhb/v1/bd13bl-hub-golden-retriever-adult-standing?w=320&fm=jpg&auto=compress,"Los golden retriever son mascotas fantásticas para la familia, pero también son perros versátiles para el deporte y el trabajo. En los deportes destacan en disciplinas tan variadas como la obediencia y agility; también sirven como perros guía y de búsqueda y rescate, por no mencionar su sobresaliente habilidad como rastreadores y perdigueros en la caza. Los golden retrievers tienen una gran cantidad de cualidades que justifican su popularidad en todo el mundo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Inteligente / Equilibrado / Alegre / Cariñoso / Afable / Seguro / Leal, - Un gran perro para una familia - Es un perro de trabajo versátil - Necesita un entrenamiento moderado,L (26-44 kg)
