Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Gran boyero suizo,https://cdn.royalcanin-weshare-online.io/MCLYHWsBaxEApS7LlB1f/v1/bd68bl-hub-great-swiss-mountain-dog-adult-standing?w=320&fm=jpg&auto=compress,"Estos robustos perros son musculosos y de complexión fuerte, pero, a pesar de su impresionante estatura, los gran boyeros suizos son animales activos con una notable capacidad de resistencia.  Los gran boyeros suizos, seguros, equilibrados, siempre en alerta e intrépidos en situaciones cotidianas, son perros de buen carácter y muy cariñosos con las personas que conocen. También se muestran confiados en presencia de extraños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Suiza Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Ágil / Seguro / Alerta / Cariñoso / Leal, - Requiere espacio exterior - Requiere cuidados mínimos - Necesita poco entrenamiento,L (26-44 kg)
Gran Grifón Vendeano,https://cdn.royalcanin-weshare-online.io/1Ppb-WYBIYfdNSoC8wlp/v1/dog-illustrations-grey-01?w=320&fm=jpg&auto=compress,"El Gran Grifón Vendeano es un sabueso que se usa habitualmente en la caza mayor de ciervos, corzos, jabalíes y zorros, en manada ó en solitario. Dócil, voluntarioso y entusiasta, requiere una educación firme. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–15 años Personalidad: Tranquilo / Obstinado, - La educación deberá comenzar pronto - Paciente con niños y otros animales - Necesita mucho ejercicio,L (26-44 kg)
Gran münsterländer,https://cdn.royalcanin-weshare-online.io/pWnXsmoBG95Xk-RBzfbB/v1/bd243bl-hub-large-munsterlander-adult-standing?w=320&fm=jpg&auto=compress,"Por encima de todo, son aprendices dóciles y amables, con habilidades comprobadas como perros de caza. Son alegres, pero no nerviosos. El Club del Gran Münsterländer fue establecido en 1919, después de que se excluyese a los perros negros y blancos del Club alemán del pointer de pelo largo porque se consideraba que tenían sangre inglesa. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 11–13 años Personalidad: Alerta / Seguro / Independiente / Afable / Inteligente / Leal / Tranquilo / Obediente / Equilibrado / Fuerte, - Requiere espacio exterior - Disfruta del entrenamiento - Necesita mucho ejercicio,L (26-44 kg)
Gran sabueso anglofrancés blanco y naranja,https://cdn.royalcanin-weshare-online.io/j2nMsmoBG95Xk-RB1vYu/v1/bd208bl-hub-great-anglo-french-white-and-orange-hound-adult-standing?w=320&fm=jpg&auto=compress,"De las tres razas anglofrancesas, la blanco y naranja es, sin duda, la menos conocida y la menos frecuente. Morfológicamente, no tiene nada que envidiar a sus primos, que difieren en términos de color y tipo. Por las venas del gran sabueso anglofrancés blanco y naranja, cruce entre el francés blanco y naranja y el foxhound inglés, corre mucha sangre británica. La cabeza, más pequeña, de estos perros fuertes y poderosos, procede más de sus raíces inglesas que la de la raza tricolor. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–13 años Personalidad: Trabajador, - Requiere cuidados mínimos - Paciente con niños y otros animales - Requiere espacio exterior,L (26-44 kg)
Gran Sabueso Anglo-Francés Blanco y Naranja,https://cdn.royalcanin-weshare-online.io/APpuwWoBIYfdNSoCghmP/v1/bd194bl-hub-french-white-and-orange-hound-adult-standing?w=320&fm=jpg&auto=compress,"Como todos los perros criados para cazar en jauría, es fácil convivir con el Gran Sabueso Anglo-Francés Blanco y Naranja, aunque intentará imponerse en su relación con otros perros. Se cree que este sabueso francés de aspecto robusto está emparentado con otra raza gala poco común, el Billy, que al parecer se utilizó en los programas de cría. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Independiente / Alegre, - Requiere cuidados mínimos - Dócil con los niños - Le encanta cazar,L (26-44 kg)
Gran Sabueso Anglo-Francés Blanco y Negro,https://cdn.royalcanin-weshare-online.io/dPrMsmoBIYfdNSoCpRgy/v1/bd207bl-hub-great-anglo-french-white-and-black-hound-adult-standing?w=320&fm=jpg&auto=compress,"Este perro valiente y fuerte está adaptado para perseguir a animales de caza mayor como jabalíes y corzos. Musculoso y de constitución fuerte, es tan resistente y robusto como sugiere su parentesco con el Gascón Saintongeois. Existen aproximadamente 2000 ejemplares de esta raza y cada año nacen unos 200 cachorros. Se utilizan en jaurías de 20 o más para la caza de corzos, y solos para la caza de ciervos. Son perros afables que forman relaciones profundas con las personas y son fáciles de controlar en manada. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–14 años Personalidad: Fuerte / Afable / Trabajador, - Requiere cuidados mínimos - Requiere espacio exterior - Necesita mucho ejercicio,L (26-44 kg)
Gran sabueso anglofrancés tricolor,https://cdn.royalcanin-weshare-online.io/jmnMsmoBG95Xk-RBgvZT/v1/bd206bl-hub-great-anglo-french-tricolour-hound-adult-standing?w=320&fm=jpg&auto=compress,"En Francia, al gran sabueso anglofrancés tricolor está muy valorado como el cruce perfecto. Estos sabuesos sólidos, más franceses que ingleses, poseen una cierta distinción, y expresan diversos grados de sus orígenes como foxhound. Considerados los perros de caza más robustos, los tricolores son populares entre los cazadores desde hace décadas, debido, en parte, a la fuerza, energía y resistencia de sus ancestros ingleses. Desde su reconocimiento oficial en 1978, la raza es una habitual de las manadas cazadoras. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Trabajador / Fuerte, - Requiere cuidados mínimos - Requiere espacio exterior - Necesita mucho ejercicio,L (26-44 kg)
Gran Sabueso Azul de Gascuña,https://cdn.royalcanin-weshare-online.io/jWnMsmoBG95Xk-RBGfad/v1/bd204bl-hub-great-gascony-blue-adult-standing?w=320&fm=jpg&auto=compress,"Muy extendidos por el sur (""midi"") y el sudoeste de Francia, particularmente en Gascuña, de donde reciben su nombre, son el origen de todos los sabuesos rastreadores llamados ""del sur"" (""du midi""). Suelen cazar en jauría y para ello tienen un instinto muy desarrollado; no obstante, estos perros, muy trabajadores, también son capaces de actuar en solitario como sabuesos de rastreo. Poseen un sentido del olfato muy fino y un ladrido resonante y, fácilmente educables con poco entrenamiento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Obediente / Obstinado / Tranquilo, - Paciente con niños y otros animales - Necesita mucho ejercicio - Necesita un entrenamiento moderado,L (26-44 kg)
Greyhound,https://cdn.royalcanin-weshare-online.io/MSLZHWsBaxEApS7Lph3A/v3/bd70bl-hub-greyhound-adult-sitting?w=320&fm=jpg&auto=compress,"Reconocido por su capacidad atlética y buena visión, el greyhound ha sido uno de los favoritos en Gran Bretaña desde la Edad Media. Una ley aprobada en esos tiempos establecía que solo la realeza y la nobleza podían cazar con estos perros tan prestigiosos. Estos perros requieren pocos cuidados y son inteligentes, cariñosos y tranquilos y disfrutan de pasar el día relajándose con sus familias humanas. Se adaptan mejor a dueños que entienden las necesidades únicas de los greyhounds. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Inteligente / Dócil / Cariñoso / Equilibrado, - Necesita un entrenamiento moderado - Requiere espacio exterior - Un gran perro para una familia,L (26-44 kg)
Grifón de Muestra de Pelo Duro,https://cdn.royalcanin-weshare-online.io/GfotxWoBIYfdNSoCnhkZ/v1/bd176bl-hub-deutsch-stichelhaar-adult-standing?w=320&fm=jpg&auto=compress,"El pelaje es un rasgo característico de esta raza: estos perros potentes tienen una barba de tamaño medio y cejas tupidas y fuertes. Los Grifones de Muestra de Pelo Duro son perros equilibrados y tranquilos. Son fuertes, valientes y seguros de sí mismos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Equilibrado / Seguro / Tranquilo / Fuerte, - Necesita cuidados moderados - Le encanta cazar,L (26-44 kg)
Hovawart ,https://cdn.royalcanin-weshare-online.io/lWnPsmoBG95Xk-RBFvYV/v1/bd217bl-hub-hovawart-adult-standing?w=320&fm=jpg&auto=compress,"Los Hovawarts son perros de trabajo de tamaño mediano y complexión ligeramente rectangular, dinámicos y de pelo largo. Estos animales bien equilibrados y bondadosos tienen un gran instinto defensivo y protector, además de un muy buen sentido del olfato. Seguros de sí mismo y equilibrados, son maravillosos perros de compañía que desarrollan un fuerte vínculo con su familia. También son hábiles perros de rastreo y rescate, lo que demuestra su impresionante versatilidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 10–14 años Personalidad: Cariñoso / Protector / Seguro / Equilibrado / Leal / Alerta, - Necesita cuidados moderados - Necesita poco entrenamiento,L (26-44 kg)
Komondor,https://cdn.royalcanin-weshare-online.io/K_oox2oBIYfdNSoCRBmO/v1/bd81bl-hub-komondor-adult-standing?w=320&fm=jpg&auto=compress,"Por naturaleza, los perros Komondor son desconfiados con los extraños y sumamente protectores con sus propietarios y su hogar, por lo que son muy preciados como perros guardianes. Debido a su gran tamaño y a su naturaleza de pastor protector, resultan más adecuados para propietarios con experiencia que puedan proporcionar la socialización, el entrenamiento y el ejercicio que necesita. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Hungría Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Fuerte / Seguro / Protector / Tranquilo / Alerta, - Necesita mucho ejercicio - Necesita mucho espacio - Requiere mucho entrenamiento,L (26-44 kg)
Kuvasz,https://cdn.royalcanin-weshare-online.io/bfrJsmoBIYfdNSoC6Bji/v1/bd82bl-hub-kuvasz-adult-standing?w=320&fm=jpg&auto=compress,"El kuvasz es un perro grande, fuerte y seguro de sí mismo, usado en su Hungría natal como perro pastor. Su pelaje ondulado, blanco y espeso los protege de las inclemencias del tiempo Los kuvaszs se muestran tímidos con los extraños y son famosos por su habilidad como perros guardianes, protegiendo propiedades, objetos de valor y personas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Hungría Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Alerta / Seguro / Protector / Leal / Cariñoso / Alegre / Independiente / Fuerte, - Requiere espacio exterior - Necesita cuidados moderados - Requiere mucho entrenamiento,L (26-44 kg)
Labrador Retriever,https://cdn.royalcanin-weshare-online.io/v2mgHGsBG95Xk-RBPfix/v1/bd1bl-hub-labrador-retriever-adult-standing?w=320&fm=jpg&auto=compress,"Nadar, perseguir, jugar, pasear con su propietario... ¡El Labrador Retriever está preparado para todo y más! Si quieres una raza que sea muy sencilla de educar, de gran inteligencia, con un carácter equilibrado y, sobre todo, juguetón, el Labrador Retriever es para ti. Además, a la mayoría de los Labrador Retriever les encantan los niños. Es importante recordar que esta raza tiene una motivación bastante grande: ¡su apetito! Esto puede suponer que el mantener al animal en su peso saludable sea un reto, mucho más que en otras razas. Sin embargo, con una dieta saludable y equilibrada, y ejercicio, es totalmente factible. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Canadá Categoría de tamaño: Grande Esperanza de vida promedio: 10–14 años Personalidad: Equilibrado / Ágil / Adaptable / Leal / Inteligente / Cariñoso / Alegre, - Necesita mucho espacio - Necesita mucho ejercicio - Dócil con los niños,L (26-44 kg)
Lebrel Afgano,https://cdn.royalcanin-weshare-online.io/c2kra2QBG95Xk-RBcNAQ/v2/afghan-hound?w=320&fm=jpg&auto=compress,"La gracia innata y la mirada penetrante del Lebrel Afgano le han generado muchos admiradores en todo el mundo. Originalmente, el Lebrel Afgano se crió como perro de caza en montañas y desiertos, y se caracteriza por una velocidad, una resistencia y una agilidad impresionantes.  Aunque tímido con los extraños, el Lebrel Afgano es cariñoso, leal y juguetón con su familia. Sin embargo, el Lebrel Afgano es relativamente independiente y no responde bien a métodos estrictos de entrenamiento. Es más adecuado para propietarios con experiencia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Afganistán Categoría de tamaño: Grande Esperanza de vida promedio: 12–18 años Personalidad: Atlético / Independiente / Inteligente / Leal / Juguetón, - Requiere muchos cuidados - Necesita un dueño con experiencia - Necesita mucho ejercicio,L (26-44 kg)
Lebrel Escocés,https://cdn.royalcanin-weshare-online.io/nfrosmoBIYfdNSoCiBiz/v1/bd291bl-hub-deerhound-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros de buen carácter son muy confiados, nunca están nerviosos y tienen mucha presencia. Parecen galgos de pelo duro pero más grandes y con huesos de mayor tamaño, los Lebreles Escoceses son excelentes compañeros, maravillosos cazadores y corredores habilidosos. Tradicionalmente, en Escocia siempre ha habido lebreles de pelo duro. Mediante procesos de cruce y selección se llegó al Lebrel Escocés, que ahora es una raza emblemática en Escocia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 8–11 años Personalidad: Dócil / Afable / Obediente / Entusiasta / Tranquilo / Cariñoso / Fuerte / Equilibrado, - Necesita poco entrenamiento - Necesita cuidados moderados - Necesita un dueño con experiencia,L (26-44 kg)
Lebrel Húngaro,https://cdn.royalcanin-weshare-online.io/i_rYsmoBIYfdNSoC6BiC/v1/bd245bl-hub-hungarian-greyhound-magyar-aga-adult-standing?w=320&fm=jpg&auto=compress,"Los Lebreles Húngaros son perros incansables, rápidos y resistentes. Muy apreciados por su tolerancia y resistencia, tienen capacidades especiales para la caza y las carreras, y logran buenos resultados, particularmente en distancias más largas. Algunos Lebreles Húngaros incluso superan a los galgos en algunas distancias. Esta raza es de caza y localiza a las presas utilizando la vista. No obstante, también se destaca por su buen olfato. Esta raza húngara, de naturaleza un poco distante, es rápida, inteligente y leal. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Hungría Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Fuerte / Tímido / Inteligente / Leal, - Gran compañero - Un gran perro deportivo - Un gran perro guardián,L (26-44 kg)
Mastín del Alentejo,https://cdn.royalcanin-weshare-online.io/o_rssmoBIYfdNSoCexiw/v1/bd282bl-hub-rafeiro-of-alentejo-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros gigantes y fuertes son resistentes y sobrios. La impresión general es ligeramente convexa, con más longitud que anchura. También se conocen como mastines portugueses y son excelentes perros guardianes para la casa, además de ser muy apropiados para proteger ganado, especialmente de noche. Durante el día, están menos activos, pero pueden ser intimidantes si se encuentran con algún visitante no esperado. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Portugal Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Independiente / Tranquilo / Equilibrado / Sociable / Seguro / Tranquilo, - Un gran perro guardián - Necesita cuidados moderados - Entrenar la obediencia es esencial,L (26-44 kg)
Otterhound,https://cdn.royalcanin-weshare-online.io/tvrzsmoBIYfdNSoCqRgD/v1/bd258bl-hub-otterhound-adult-standing?w=320&fm=jpg&auto=compress,"Estos grandes perros de constitución robusta tienen una cabeza majestuosa y unas patas rectas, con las que dan pasos flexibles y largos. Dada su función primaria, sus grandes patas y su áspero pelaje de doble capa son características esenciales de la raza. Estos perros de caza afables, cariñosos y enérgicos son excelentes compañeros para las personas que llevan vidas activas, y son conocidos por utilizar una amplia gama de vocalizaciones. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Afable / Equilibrado / Seguro, - Requiere espacio exterior - Necesita cuidados moderados - Un gran perro para una familia,L (26-44 kg)
Pastor Alemán,https://cdn.royalcanin-weshare-online.io/kfqjHGsBIYfdNSoCkxpw/v1/bd3bl-hub-german-shepherd-adult-standing?w=320&fm=jpg&auto=compress,"Si la educación es la apropiada, los Pastores Alemanes son equilibrados, seguros de sí mismos, atentos, dóciles y muy inteligentes. Esta larga lista de cualidades los convierte en buenos compañeros y protectores, y excelentes perros guardianes y de pastoreo.  Los Pastores Alemanes son perros con una gran capacidad de trabajo. Pueden llegar a tener un carácter dominante, pero la educación de un Pastor Alemán, si se le dedica el tiempo y la atención necesaria, es sencilla. Esta raza, para satisfacer sus altas necesidades de ejercicio y su deseo de aprender, debería ser estimulada diariamente, tanto física como mentalmente. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 9–13 años Personalidad: Equilibrado / Seguro / Cariñoso / Fuerte / Protector / Alegre / Obediente, - Es un perro de trabajo versátil - Necesita mucho ejercicio físico y mental - Un gran perro para una familia,L (26-44 kg)
Pastor Blanco Suizo,https://cdn.royalcanin-weshare-online.io/dmnDsmoBG95Xk-RBofZK/v1/bd325bl-hub-white-swiss-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros pastores de tamaño mediano son fuertes y musculosos, y tienen las orejas erguidas, un doble pelaje de medio a largo y un cuerpo alargado. Los Pastores Blancos Suizos son perros familiares y de compañía dóciles, y a la mayoría les encantan los niños. Son perros guardianes atentos, trabajadores y con mucha energía. Los Pastores Blancos Suizos, siempre alerta y vigilantes, son perros equilibrados y para nada nerviosos. Aunque a veces se muestran algo tímidos con los extraños, nunca están ansiosos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Suiza Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Alerta / Afable / Inteligente / Sociable / Cariñoso / Obediente, - Un gran perro guardián - Requiere cuidados mínimos - Necesita mucho ejercicio,L (26-44 kg)
Pastor de Beauce,https://cdn.royalcanin-weshare-online.io/DSLVxWoBaxEApS7LHhzc/v1/bd142bl-hub-beauce-sheep-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los pastores de Beauce son perros grandes, de complexión maciza, poderosos y musculosos, pero a la vez esbeltos. El cuerpo, caracterizado por unas proporciones medianas, debe medir ligeramente más desde la base del cuello hasta la base de la cola que la altura hasta la cruz. Hoy en día, es la raza más popular de perros pastores franceses, tanto en su país natal como en el extranjero. Estos perros son audaces y francos. Su expresión es sincera, nunca cruel, reservada ni preocupada. Deben destacar por su buen comportamiento y su audacia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Alegre / Seguro / Alerta / Independiente / Inteligente / Leal / Tranquilo / Fuerte, - Requiere cuidados mínimos - Requiere espacio exterior - Necesita poco entrenamiento,L (26-44 kg)
Pastor de Brie,https://cdn.royalcanin-weshare-online.io/82lWHWsBG95Xk-RBp_ig/v1/bd40bl-hub-briard-adult-standing?w=320&fm=jpg&auto=compress,"El Pastor de Brie es un perro robusto y musculoso, con un carácter equilibrado. Desde la década de 1990, la demanda mundial de esta raza ha alcanzado un nivel sin precedentes, y actualmente es la raza de pastor francés más extendida. El Pastor de Brie se adapta fácilmente al hogar familiar, por lo que es excelente como animal de compañía y perro guardián. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Protector / Fuerte / Alegre / Alerta / Equilibrado / Sociable / Seguro, - Un gran perro guardián - Un gran perro para una familia - Requiere muchos cuidados,L (26-44 kg)
Pastor de la Maremma y de los Abruzos,https://cdn.royalcanin-weshare-online.io/jPrZsmoBIYfdNSoCahhs/v5/bd247bl-hub-maremma-and-the-abbruzes-sheepdog-adult-standing?w=320&fm=jpg&auto=compress,"Los Pastores de la Maremma y de los Abruzos son perros grandes y de complexión poderosa, con un aspecto robusto y en cierto modo rústico, pero a la vez majestuosos y elegantes. Los valientes perros guardianes de esta raza muestran gran coraje, decisión y resolución en su tarea principal de proteger y defender el ganado y las propiedades en general. Aunque orgullosos, los Pastores de la Maremma y de los Abruzos desarrollan una fuerte lealtad hacia sus compañeros humanos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Italia Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Cariñoso / Tranquilo / Inteligente / Dócil, - Requiere cuidados mínimos - Un gran perro guardián - Disfruta del entrenamiento,L (26-44 kg)
Pastor Holandés,https://cdn.royalcanin-weshare-online.io/vyJ7wWoBaxEApS7LwRuK/v1/bd183bl-hub-dutch-shepherd-dog-adult-sitting?w=320&fm=jpg&auto=compress,"Cariñoso, obediente, muy leal y seguro, los Pastores Holandeses son poco exigentes y derrochan energía. Añade un constante estado de alerta a la mezcla y obtendrás la definición de un perro pastor. Los Pastores Holandeses son miembros de la familia de razas de perros pastores holandeses en la que también están el Schapendoes Neerlandés y el Perro Lobo de Saarloos. Los expertos dicen que originalmente se cruzaron con su primo belga, que tiene una fisonomía, variedades y aptitudes similares. Hoy en día, los Pastores Holandeses son reconocidos como perros de trabajo. Su valentía, coraje, resistencia e infatigabilidad son muy apreciados. Esta raza demuestra su carácter desde una edad muy temprana, por lo que es imprescindible ser firme en su educación. Una vez que haya sido educado y socializado adecuadamente, te sorprenderá de lo que tu perro es capaz. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Países Bajos Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Alerta / Inteligente / Leal / Fuerte / Tímido, - Requiere espacio exterior - Un gran perro para una familia - Necesita mucho ejercicio,L (26-44 kg)
Pastor Polaco de Podhale,https://cdn.royalcanin-weshare-online.io/f2nFsmoBG95Xk-RBlfZh/v1/bd317bl-hub-tatra-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Pastores Polacos de Podhale son perros guardianes y pastores, con una actitud imponente y un aspecto atractivo que los convierten en compañeros muy queridos. El primer estándar establecido en 1938 destacaba estas aptitudes. Su denso pelaje les permite vivir en climas extremos. Los Pastores Polacos de Podhale son perros fuertes y compactos con gran potencia y movilidad. A primera vista, este robusto animal puede recordar a otra gran raza blanca, el Kuvasz, pero si se le observa más de cerca, el polaco se diferencia del húngaro en muchos aspectos, en particular su cabeza dominante. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Polonia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Cariñoso / Seguro / Alerta / Tranquilo / Seguro / Independiente / Inteligente / Leal / Obediente / Tranquilo / Sociable, - Un gran perro guardián - Necesita cuidados moderados - La educación deberá comenzar pronto,L (26-44 kg)
Pastor rumano de los Cárpatos,https://cdn.royalcanin-weshare-online.io/ovrssmoBIYfdNSoCSBi0/v1/bd283bl-hub-romanian-carpathian-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los individuos de esta raza relativamente grande, son ágiles sin ser pesados, por lo que, generalmente, son perros vigorosos. Se han utilizado durante cientos de años para el pastoreo. También son apreciados como perros guardianes. Estos valientes e innatos guardianes tienen un vínculo incondicional con su rebaño y su pastor. Son perros majestuosos, tranquilos y equilibrados. En cuanto a su aspecto, la raza se caracteriza por tener un cuerpo rectangular. Es fácil diferenciar entre machos y hembras: los machos son más altos y más fuertes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Rumanía Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Dócil / Inteligente / Leal / Seguro / Tranquilo / Equilibrado, - Un gran perro guardián - Necesita mucho ejercicio - Requiere cuidados mínimos,L (26-44 kg)
Pastor rumano de Mioritza,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Los pastores rumanos de Mioritza son perros tranquilos y equilibrados que muestran un gran valor y una gran capacidad de lucha cuando depredadores como osos, lobos o linces amenazan a su rebaño. Desconfían de los extraños y son conocidos por ser excelentes perros guardianes. Es un buen perro pastor y un luchador muy valiente y eficaz contra posibles presas. Su carácter tranquilo y su paciencia con los niños lo convierten en un magnífico y cariñoso perro de familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Rumanía Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Tranquilo / Tranquilo / Dócil, - Necesita cuidados moderados - Un gran perro guardián - Paciente con niños y otros animales,L (26-44 kg)
Perdiguero de Burgos,https://cdn.royalcanin-weshare-online.io/3Prgu2oBIYfdNSoCGxgS/v1/bd260bl-hub-burgos-pointing-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perdigueros de Burgos son perros de gran tamaño y pelo corto. Su cabeza está bien desarrollada, orejas grandes y largas que forman un pliegue al caer, el torso compacto y extremidades firmes. De constitución casi cuadrada, están bien proporcionados y son armoniosos en sus movimientos. El Perdiguero de Burgos es una raza resistente que puede trabajar en cualquier tipo de terreno y cazar cualquier tipo de presa. Los Perdigueros de Burgos son obedientes, fuertes y, sobre todo, están dotados de un agudo sentido del olfato y excelentes habilidades de caza, gracias a su tranquilidad y seguridad para seguir rastros, y a su impecable capacidad de señalización y recuperación de las presas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: España Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Dócil / Tranquilo / Fuerte / Trabajador / Obediente / Equilibrado / Inteligente, - Un gran perro para una familia,L (26-44 kg)
