Raza,Foto,Acerca de,Especificidades de la raza,Información clave,Tamaño
Perdiguero de Drente,https://cdn.royalcanin-weshare-online.io/wiJ_wWoBaxEApS7LXRuE/v1/bd181bl-hub-drentsche-partridge-dog-adult-standing?w=320&fm=jpg&auto=compress,"El Perdiguero de Drente es un perro de caza ideal para diversos tipos de terreno. Tiene una capacidad innata para mantener el contacto con el cazador. Mientras busca a una presa, mueve la cola en círculos, especialmente cuando detecta un rastro olfativo. Los ejemplares de esta raza tan adaptable son capaces de cazar muchos tipos de presa, tanto en campo abierto como en marismas. Además, son buenos perros cobradores y destacan en la búsqueda de presas perdidas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Países Bajos Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Tranquilo / Afable / Leal / Inteligente / Trabajador / Dócil, - Requiere cuidados mínimos - Un gran perro para una familia - Disfruta del entrenamiento,L (26-44 kg)
Perro Crestado Rodesiano,https://cdn.royalcanin-weshare-online.io/JiIux2oBaxEApS7LDhyA/v1/bd98bl-hub-rhodesian-ridgeback-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros Crestados Rodesianos se siguen utilizando para cazar en muchos lugares del mundo, pero son especialmente valorados como perros guardianes y de familia.  Esta raza se caracteriza por su agilidad y su elegancia. Cuenta con una cresta muy característica en el lomo, formada por unos pelos que crecen en sentido contrario al resto del pelaje. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Sudáfrica Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Ágil / Alegre / Inteligente / Tímido / Equilibrado, - Un gran perro guardián - Un gran perro para una familia - Necesita un dueño con experiencia,L (26-44 kg)
Perro de Agua Frisón,https://cdn.royalcanin-weshare-online.io/BPpvwWoBIYfdNSoCPhku/v1/bd196bl-hub-frisian-water-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros de Agua Frisones son animales tranquilos, de fuerte carácter y desconfiados con los extraños, lo cual los convierte en los perros guardianes ideales. Estos enérgicos perros de agua son adecuados para varias disciplinas. Se especializan en la caza de nutrias en zonas pantanosas, pero también son buenos para atrapar topos y otras plagas en los jardines. Por su carácter, prefieren disuadir a actuar. La mayoría de los Perros de Agua Frisones se encuentran en su tierra natal, aunque actualmente algunos viven en los Estados Unidos y otras partes de Europa. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Países Bajos Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Alerta / Seguro / Afable / Independiente / Inteligente / Leal / Tranquilo / Equilibrado / Fuerte, - Un gran perro guardián - Necesita cuidados moderados - Necesita un dueño con experiencia,L (26-44 kg)
Perro de Castro Laboreiro,https://cdn.royalcanin-weshare-online.io/Ufo_x2oBIYfdNSoCGhmN/v1/bd161bl-hub-castro-laboreiro-dog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros de Castro Laboreiro son perros lupoides tipo mastín con un cuerpo casi rectangular. Son animales robustos y a veces son de un color bastante llamativo. Su andar es relajado, ágil y dinámico. Los Perros de Castro Laboreiro son leales y dóciles con la gente que conocen y, a su vez, protegen muy bien al ganado contra los ataques de la gran cantidad de lobos que todavía merodea las montañas del norte de Portugal. Se trata de perros guardianes increíbles, que parecen no detenerse ni por un momento. Estos perros son nobles, pero también son perros de montaña robustos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Portugal Categoría de tamaño: Grande Esperanza de vida promedio: 11–13 años Personalidad: Seguro / Tranquilo / Dócil / Fuerte / Inteligente / Leal, - Un gran perro guardián - Requiere cuidados mínimos - Entrenar la obediencia es esencial,L (26-44 kg)
Perro de Groenlandia,https://cdn.royalcanin-weshare-online.io/1Ppb-WYBIYfdNSoC8wlp/v1/dog-illustrations-grey-01?w=320&fm=jpg&auto=compress,"Los Perros de Groenlandia son perros polares tipo Spitz muy fuertes, concebidos para la dura tarea de tirar de trineos en las frías condiciones climáticas del Ártico. Tienen un instinto sumamente desarrollado para cazar debido a sus antecedentes como cazadores de focas y osos polares. Los Perros de Groenlandia son animales robustos que resultan especialmente adecuados para las personas que disfrutan de la vida al aire libre.  Son excelentes compañeros para quienes les gusta pasear por el bosque o la montaña. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Dinamarca Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Afable / Independiente / Leal / Tranquilo / Fuerte / Alegre, - Necesita cuidados moderados - Necesita mucho ejercicio - Necesita mucho espacio,L (26-44 kg)
Perro de Muestra Alemán de Pelo Largo,https://cdn.royalcanin-weshare-online.io/PfqlH2YBIYfdNSoCEghb/v2/bd198bl-german-longhaired-pointer-adult-standing?w=320&fm=jpg&auto=compress,"Estos Spaniels equilibrados y tranquilos son excelentes compañeros y fáciles de educar. Son fuertes, musculosos y bastante bajos a la cruz, pero de constitución muy elegante. Los más pequeños suelen tener un peso considerable. Los Perros de Muestra Alemanes de Pelo Largo combinan las genealogías de los perros de aguas, de los cazadores de aves y de los perros sabuesos, lo cual explica sus habilidades excepcionalmente versátiles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Cariñoso / Afable / Dócil / Inteligente / Sociable, - Requiere espacio exterior - Disfruta del entrenamiento - Necesita cuidados moderados,L (26-44 kg)
Perro de Pastor Mallorquín,https://cdn.royalcanin-weshare-online.io/RCI-x2oBaxEApS7L8xz6/v3/bd160bl-hub-majorca-shepherd-dog-adult-standing?w=320&fm=jpg&auto=compress,"El Perro de Pastor Mallorquín es grande y de peso mediano. Tiene el pelaje negro (a veces con marcas blancas en el pecho) y es equilibrado, resistente, fuerte, musculoso, robusto y ágil. Hay dos variedades de manto: el de pelo corto (el más común) y el de pelo largo. Este perro extremadamente noble solo reconoce a un propietario y tienen dificultades para relacionarse con personas desconocidas. Inteligente, obediente, cariñoso, huraño y reservado cuando es joven, es inusualmente sensible. Fiel compañero hasta el final, es valiente y combativo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: España Categoría de tamaño: Grande Esperanza de vida promedio: 11–13 años Personalidad: Seguro / Leal / Sensible / Inteligente / Obediente / Cariñoso / Fuerte, - Requiere cuidados mínimos - Un gran perro guardián - Dócil con los niños,L (26-44 kg)
Perro de San Huberto,https://cdn.royalcanin-weshare-online.io/42lJHWsBG95Xk-RBLPhd/v1/bd32bl-hub-bloodhound-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros de San Huberto son imponentes y de una gran nobleza, reforzada por su aspecto solemne. A pesar de su presencia, los Perros de San Huberto son animales extremadamente cariñosos y de naturaleza dócil. Su excepcional olfato es legendario, por lo que no es de extrañar que se los suela utilizar para buscar a personas desaparecidas. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Bélgica Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Dócil / Equilibrado / Cariñoso / Sociable / Tranquilo / Obstinado / Tímido / Sensible / Tranquilo, - Requiere espacio exterior - Necesita cuidados moderados - Necesita poco entrenamiento,L (26-44 kg)
Perro del Faraón,https://cdn.royalcanin-weshare-online.io/s_rwsmoBIYfdNSoC7hi_/v1/bd265bl-hub-pharaoh-hound-adult-standing?w=320&fm=jpg&auto=compress,"Estos perros de tamaño mediano son elegantes y tienen mucha energía. Los Perros del Faraón son muy rápidos en su movimiento. Están siempre en alerta. Son cazadores apasionados que cazan tanto por el olfato como por la vista, y también utilizan su sentido del oído en distancias cortas. El Perro del Faraón es una raza increíblemente alegre, inteligente y cariñosa, que se lleva bien con todos los miembros de la familia, incluidos los niños y otras mascotas. Debido a su naturaleza afable, el Faraón no es la opción más adecuada como perro guardián. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Malta Categoría de tamaño: Grande Esperanza de vida promedio: 11–14 años Personalidad: Independiente / Inteligente / Sociable / Fuerte, - Necesita mucho ejercicio - Requiere espacio exterior - Necesita cuidados moderados,L (26-44 kg)
Perro Lobo Checoslovaco,https://cdn.royalcanin-weshare-online.io/HSKMHWsBaxEApS7LYB19/v1/bd54bl-hub-czechoslovakian-wolfdog-adult-standing?w=320&fm=jpg&auto=compress,"Los Perros Lobo Checoslovacos son temperamentales, reaccionan rápidamente y están llenos de energía. Todo lo que se puede decir de estos perros intrépidos y muy versátiles es que son unos compañeros excepcionalmente leales.  Estos perros cariñosos forman vínculos increíblemente fuertes con sus propietarios; sin embargo, pueden ser tímidos en compañía de extraños. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: República Checa Categoría de tamaño: Grande Esperanza de vida promedio: 12–16 años Personalidad: Alegre / Fuerte / Tranquilo / Seguro / Leal, - Necesita un dueño con experiencia - Requiere mucho entrenamiento - Necesita mucho espacio,L (26-44 kg)
Perro Lobo de Saarloos,https://cdn.royalcanin-weshare-online.io/oPrqsmoBIYfdNSoCrRgM/v1/bd288bl-hub-saarloos-wolfhond-adult-standing?w=320&fm=jpg&auto=compress,"El Perro Lobo de Saarloos es un perro robusto cuyo aspecto, incluidos sus movimientos y el pelaje, recuerdan al de un lobo. Alegre y rebosante de energía, orgulloso e independiente, el Perro Lobo de Saarloos solo se guiará por su propia voluntad. No obstante, es muy fiel y leal a su propietario. Con extraños, esta raza es reservada y desconfiada. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Países Bajos Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Alerta / Independiente / Leal, - Necesita un entrenamiento moderado - Requiere espacio exterior - Necesita un dueño con experiencia,L (26-44 kg)
Podenco canario,https://cdn.royalcanin-weshare-online.io/rvrvsmoBIYfdNSoCyRgu/v1/bd268bl-hub-canarian-warren-hound-podenco-canario-adult-standing?w=320&fm=jpg&auto=compress,"Imponente pero no agresivo, el podenco canario es un perro valiente y dinámico que puede trabajar todo el día sin mostrar el menor signo de cansancio. Se dedican desinteresadamente a su compañero humano. Gracias al olfato y al oído, también pueden detectar la presencia de conejos en el fondo de las grietas naturales del terreno, en grietas de las paredes o en los montones de piedras en los bordes de los campos arados. Sin duda, que existan a día de hoy se debe a su don como cazadores, que los ha hecho insustituibles. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: España Categoría de tamaño: Grande Esperanza de vida promedio: 11–13 años Personalidad: Seguro / Entusiasta / Leal / Tímido, - Requiere cuidados mínimos - Necesita un propietario con algo de experiencia - Paciente con niños y otros animales,L (26-44 kg)
Pointer Inglés,https://cdn.royalcanin-weshare-online.io/rfrvsmoBIYfdNSoClhiN/v1/bd269bl-hub-english-pointer-adult-standing?w=320&fm=jpg&auto=compress,"El Pointer Inglés es un perro armonioso de buena complexión y gran elegancia, lleno de fuerza y agilidad. Los miembros de esta raza de atletas consumados, que fue una de las primeras en ser registradas por la FCI, son auténticos deportistas de élite en todos los sentidos. El Pointer Inglés se queda inmóvil al observar a su presa, mientras muestra su cuerpo en todo el esplendor de su cuerpo, con una expresión de determinación. Es un espectáculo verdaderamente digno de ver. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Alerta / Fuerte / Atlético / Cariñoso / Equilibrado, - Requiere espacio exterior - Necesita cuidados moderados - Necesita poco entrenamiento,L (26-44 kg)
Poitevino,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"En su Francia natal, el poitevino está muy valorado para formar parte de los grandes grupos de caza. El poitevino es un atleta nato con músculos poderosos que muestra una gran destreza a la hora de acercarse al jabalí, el ciervo o el corzo. Este cazador excelente trabaja siempre muy duro. El poitevino se siente tan a gusto en tierra como en el agua y muchos lo consideran el sabueso más bonito. El poitevino se encuentra entre las razas con el registro más largo de servicio en grupos de caza. La cría controlada comenzó en el siglo XIX, a partir de los sabuesos descendientes de los ilustres king’s whites. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Independiente / Alegre, - Requiere cuidados mínimos - Necesita mucho espacio - Requiere mucho entrenamiento,L (26-44 kg)
Presa canario,https://cdn.royalcanin-weshare-online.io/3SIwxWoBaxEApS7LOxt5/v1/bd180bl-hub-presa-canario-adult-standing?w=320&fm=jpg&auto=compress,"Esta es una raza de tamaño medio, con cuerpo bien proporcionado y una máscara negra característica. El cuerpo es más largo que la altura hasta la cruz, característica que es ligeramente más pronunciada en las hembras. Los presas canarios son perros equilibrados y muy seguros de sí mismos. Son obedientes y dóciles con la familia, tienen mucho apego a sus propietarios y tratan a los extraños con recelo. Son seguros de sí mismos, nobles y un poco distantes, pero muy firmes y guardianes cuando están en alerta. Su ladrido es grave y profundo. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: España Categoría de tamaño: Grande Esperanza de vida promedio: 9–11 años Personalidad: Cariñoso / Seguro / Tranquilo / Obediente, - Requiere cuidados mínimos - Un gran perro guardián - Requiere mucho entrenamiento,L (26-44 kg)
Pudelpointer,https://cdn.royalcanin-weshare-online.io/w2nssmoBG95Xk-RB9vY-/v1/bd279bl-hub-pudelpointer-adult-standing?w=320&fm=jpg&auto=compress,"Los Pudelpointers son perros equilibrados, tranquilos y disciplinados con un instinto de caza muy desarrollado. Nunca rechazarán ir de caza. Aunque los Caniches sólo se utilizaron para crear la base de la raza, sus habilidades de caza se conservan en la raza actual. Gracias a su combinación con las aptitudes excepcionales del Pointer, se logró la creación de un perro de caza versátil: tiene un olfato fino incluso a grandes distancias, puede realizar una búsqueda rápida en una zona extensa y una muestra firme. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Cariñoso / Alerta / Dócil / Inteligente / Leal / Seguro, - Necesita cuidados moderados - Requiere espacio exterior - Disfruta del entrenamiento,L (26-44 kg)
Retriever de la bahía de Chesapeake,https://cdn.royalcanin-weshare-online.io/zvp8HWsBIYfdNSoCyhpI/v1/bd49bl-hub-chesapeake-bay-retriever-adult-standing?w=320&fm=jpg&auto=compress,"El retriever de la bahía de Chesapeake es un perro tranquilo e inteligente, de naturaleza alegre, afectuoso y un instinto protector. La raza tiene muchas cualidades, incluido el coraje, la vivacidad y la inteligencia, por las cuales se ha hecho popular.  El retriever de la bahía de Chesapeake es cariñoso con los niños y las personas mayores por igual y prospera con la interacción con el hombre. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Estados Unidos Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Afable / Inteligente / Tranquilo / Cariñoso / Protector / Trabajador / Alerta / Seguro, - Requiere espacio exterior - Necesita cuidados moderados - Un gran perro para una familia,L (26-44 kg)
Retriever de Pelo Liso,https://cdn.royalcanin-weshare-online.io/__puwWoBIYfdNSoCPxjl/v3/bd193bl-hub-flat-coated-retriever-adult-sitting?w=320&fm=jpg&auto=compress,"Los Retriever de Pelo Liso comparten una serie de características con otros perros de presa, como la habilidad de relacionarse con el hombre y con otros perros, la destreza natural para atrapar a las presas y el amor por el agua. Estos perros cariñosos y enérgicos conservan la emoción del cachorro hasta bien entrada la edad adulta y son los más adecuados para familias activas y amantes de la vida al aire libre. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Alegre / Inteligente / Afable / Entusiasta / Seguro / Cariñoso, - Necesita mucho ejercicio - Requiere espacio exterior - Paciente con niños y otros animales,L (26-44 kg)
Retriever de pelo rizado,https://cdn.royalcanin-weshare-online.io/GvotxWoBIYfdNSoC4RkO/v1/bd173bl-hub-curly-coated-retriever-adult-standing?w=320&fm=jpg&auto=compress,"Inteligente, equilibrado, de confianza, valiente, afable, seguro de sí mismo e independiente: nada más y nada menos que siete adjetivos para describir la personalidad de los retrievers de pelo rizado, que son bastante distantes con los extraños. Lamentablemente, no es muy frecuente ver estos perros de agua. El retriever de pelo rizado, que para muchos es el perro de caza ideal, sigue siendo una gran mascota para toda la familia. Su naturaleza enérgica lo convierte en un compañero excelente para caminar y su personalidad juguetona, como la de un cachorro, y su paciencia con los niños lo hacen muy apto para la vida en familia. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 8–12 años Personalidad: Inteligente / Equilibrado / Leal / Seguro / Afable / Independiente / Tímido, - Necesita poco entrenamiento - Necesita mucho ejercicio - Un gran perro para una familia,L (26-44 kg)
Sabueso artesiano,https://cdn.royalcanin-weshare-online.io/1Ppb-WYBIYfdNSoC8wlp/v1/dog-illustrations-grey-01?w=320&fm=jpg&auto=compress,"El sabueso artesiano es un perro grande que actualmente se utiliza especialmente para cazar. Este sabueso trabajador, no demasiado rápido, pero capaz de mantener su ritmo, conduce la presa hacia la línea de fuego siguiendo el olor de cerca gracias a su nariz excelente. Un grupo de seis a ocho sabuesos artesianos bien coordinado trabaja a la satisfacción del cazador más exigente. Es conocido por ser un perro resistente, bien equilibrado y cariñoso, tanto sobre el terreno como en el hogar. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Cariñoso / Seguro / Dócil / Tranquilo / Inteligente / Leal, - Necesita cuidados moderados - Necesita mucho ejercicio - La educación deberá comenzar pronto,L (26-44 kg)
Sabueso de Hamilton,https://cdn.royalcanin-weshare-online.io/k2nOsmoBG95Xk-RBFPaA/v1/bd214bl-hub-hamiltonstovare-adult-standing?w=320&fm=jpg&auto=compress,"Los sabuesos de Hamilton son grandes compañeros gracias a su carácter afable y estable. Son animales bien proporcionados, y dan la impresión de tener gran fuerza y vigor. Nunca hay ninguna muestra de pesadez en estos perros bien tonificados. Los sabuesos de Hamilton se usan a veces para cazar liebres y zorros, aunque no cazan en manadas. En Suecia nunca se usan para cazar ciervos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Suecia Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Dócil / Leal / Tranquilo / Obstinado / Afable, - Requiere cuidados mínimos - Necesita mucho ejercicio - Bueno con las personas,L (26-44 kg)
Sabueso francés blanco y negro,https://cdn.royalcanin-weshare-online.io/FvoqxWoBIYfdNSoCSRmM/v1/bd166bl-hub-french-white-and-black-hound-adult-standing?w=320&fm=jpg&auto=compress,"Debido a su ingenio y fiabilidad, a los perros de esta raza se les valora muchísimo para la caza de manadas de corzos. Distinguidos y bien proporcionados, tienen una nariz fina y buena voz. Estos afables canes establecen relaciones estrechas con el h ombre y pueden vivir de manera pacífica en las residencias. Su naturaleza despierta les ha conferido la reputación de ser excelentes perros guardianes. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Afable / Dócil / Equilibrado, - Requiere cuidados mínimos - Necesita mucho ejercicio - Un gran perro guardián,L (26-44 kg)
Sabueso Francés Tricolor,https://cdn.royalcanin-weshare-online.io/1iIqxWoBaxEApS7LiRsz/v1/bd167bl-hub-french-tricolour-hound-adult-standing?w=320&fm=jpg&auto=compress,"El Sabueso Francés Tricolor es una mezcla de Gran Sabueso Anglo-Francés Tricolor, Poitevino y Billy. El objetivo era crear un sabueso con menos sangre inglesa para cazar venados y jabalíes en manadas. Estos perros de caza son grandes y de aspecto elegante y musculoso. Los Sabuesos Franceses Tricolor son perros de constitución atlética con un alto rendimiento. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Independiente / Alegre / Trabajador, - Requiere cuidados mínimos - Un gran perro guardián - Requiere espacio exterior,L (26-44 kg)
Sabueso Polaco,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Los Sabuesos Polacos son perros poderosos con extraordinario olfato y una gran perseverancia, muy apreciados por los cazadores polacos. Usan su ladrido profundo y melódico para mantenerse en contacto durante la caza. Este destacado cazador también es un excelente perro de familia, fácil de mantener, leal con la familia y desconfiado de los extraños. En el pasado, los Sabuesos Polacos se usaban principalmente para cazar liebres, zorros, corzos, jabalíes, y durante la caza de patos, para sacar a los patos silvestres de los juncales. Hoy en día, dado que la caza de liebres con perros está prohibida en la mayor parte de Polonia, los Sabuesos Polacos se usan solo para cazar jabalíes y zorros en todo el país. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Polonia Categoría de tamaño: Grande Esperanza de vida promedio: 13–14 años Personalidad: Cariñoso / Dócil / Leal / Equilibrado, - Un gran perro guardián - Requiere mucho entrenamiento - Requiere cuidados mínimos,L (26-44 kg)
Salud del Foxhound inglés ,https://cdn.royalcanin-weshare-online.io/tyJ4wWoBaxEApS7LnBti/v1/bd186bl-hub-english-foxhound-adult-standing?w=320&fm=jpg&auto=compress,"Los Foxhound ingleses son perros fuertes y equilibrados que constituyen el arquetipo de todos los sabuesos europeos grandes. Estos perros llenos de energía, que les permite correr durante horas, nacieron para cazar, pero aun así son afables y nada agresivos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–13 años Personalidad: Seguro / Afable / Dócil / Independiente / Inteligente / Sociable / Fuerte, - Requiere espacio exterior - Necesita mucho ejercicio - Paciente con niños y otros animales,L (26-44 kg)
Schnauzer Gigante,https://cdn.royalcanin-weshare-online.io/4frVHWsBIYfdNSoC_Bo7/v1/bd65bl-hub-giant-schnauzer-adult-standing?w=320&fm=jpg&auto=compress,"A los Schnauzers Gigantes se les conoce por ser perros grandes, fuertes, robustos más que delgados, y con el pelo ondulado. Estos elegantes perros guardianes, eficaces y siempre alerta, inspiran un gran respeto de forma natural.  Sus sentidos bien desarrollados, su inteligencia natural y su idoneidad para el entrenamiento los convierten en muy buenos compañeros, atletas y trabajadores, especialmente, al tratarse de animales que combinan fuerza, resistencia y velocidad. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Alemania Categoría de tamaño: Grande Esperanza de vida promedio: 12–15 años Personalidad: Cariñoso / Equilibrado / Leal / Inteligente / Fuerte / Seguro / Alegre, - Requiere espacio exterior -   -  - Necesita poco entrenamiento - Necesita mucho ejercicio,L (26-44 kg)
Setter gordon,https://www.royalcanin.com/es/-/media/dog_cat_illustrations_grey-01.png?rev=af74c8185dca48b89bb905ba394b8eaa&w=320&fm=jpg&auto=compress,"Esta raza es una verdadera cazadora de campo. Los setter gordons, perros bellos, tranquilos e inteligentes, de expresión pensativa y carácter equilibrado, son sumamente leales a sus familias. Ya que el gordon tiene antecedentes de caza, requiere mucho ejercicio y es inmensamente feliz cuando juega a buscar objetos que se le lanzan o aprende nuevos trucos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Reino Unido Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Inteligente / Seguro / Cariñoso / Equilibrado, - Requiere muchos cuidados - Necesita poco entrenamiento - Necesita mucho ejercicio físico y mental,L (26-44 kg)
Spaniel Picardo,https://cdn.royalcanin-weshare-online.io/sfrwsmoBIYfdNSoCSRiV/v1/bd267bl-hub-picardy-spaniel-adult-standing?w=320&fm=jpg&auto=compress,"Este Spaniel Francés fue la respuesta de los cazadores de la bahía del Somme ante la llegada del Pointer Inglés a principios del siglo XX. Esta raza dócil todavía se utiliza para la caza, pero también es un perro de compañía muy afable. Los Spaniel Picardo son perros de cuerpo armonioso y expresión dócil y llevan la cabeza erguida de una manera alegre e imponente. El estándar oficial se publicó hace más de un siglo y la raza no cambió mucho desde entonces.   Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Francia Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Cariñoso / Tranquilo / Dócil / Sociable, - Necesita mucho ejercicio - Disfruta del entrenamiento - Paciente con niños y otros animales,L (26-44 kg)
Terrier negro de Rusia,https://cdn.royalcanin-weshare-online.io/TPo8x2oBIYfdNSoC3Rlz/v1/bd147bl-hub-russian-black-terrier-adult-standing?w=320&fm=jpg&auto=compress,"Los terriers negros de Rusia son perros potentes de tamaño superior a la media, con huesos y músculos sólidos. Este activa (e incluso extremadamente enérgica) raza es resistente y está bien equilibrada, pero es alegre, y siente inclinación por una defensa fuerte. Esta raza florece con el contacto humano y es muy dócil cuando juega con niños. Responde bien a una educación temprana y es adecuado para agility y deportes caninos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Rusia Categoría de tamaño: Grande Esperanza de vida promedio: 10–12 años Personalidad: Atlético / Seguro / Equilibrado / Protector / Fuerte / Independiente / Afable / Leal, - Requiere muchos cuidados - Un gran perro guardián - Disfruta del entrenamiento,L (26-44 kg)
Vizsla de Pelo Duro,https://cdn.royalcanin-weshare-online.io/dGnCsmoBG95Xk-RBufYo/v3/bd328bl-hub-hungarian-wire-haired-pointer-vizsla-adult-standing?w=320&fm=jpg&auto=compress,"Los Vizsla de Pelo Duro sienten un enorme apego por su propietario; son animales receptivos y fáciles de educar, aunque nunca deben ser educados con dureza Les gusta mantener el contacto con su propietario y realizan las tareas de búsqueda con pasión y perseverancia, empleando su excelente olfato y sus perfectas habilidades para la muestra. Los Vizsla de Pelo Duro se suelen utilizar como perros de terapia gracias a su naturaleza inteligente y paciente. Dicho esto, también necesitan hacer mucho ejercicio debido a sus altos niveles de energía. Estas cualidades los hacen idóneos para muchos deportes caninos. Fuente: Datos y características aportados por la Fédération Cynologique Internationale (FCI)",País: Hungría Categoría de tamaño: Grande Esperanza de vida promedio: 12–14 años Personalidad: Tranquilo / Alegre / Cariñoso / Inteligente / Seguro / Entusiasta / Obstinado, - Requiere espacio exterior - Requiere cuidados mínimos - Necesita poco entrenamiento,L (26-44 kg)
